CZAS	PM10
2019-03-04	17
2019-03-05	12
2019-03-06	23
2019-03-07	24
2019-03-08	14
2019-03-09	10
2019-03-10	9
2019-03-11	10
2019-03-12	14
2019-03-13	14
2019-03-14	10
2019-03-15	10
2019-03-16	11
2019-03-17	9
2019-03-18	11
2019-03-19	22
2019-03-20	35
2019-03-21	92
2019-03-22	57
2019-03-23	44
2019-03-24	29
2019-03-25	19
2019-03-26	15
2019-03-27	19
2019-03-28	30
2019-03-29	47
2019-03-30	56
2019-03-31	38
2019-04-01	17
2019-04-02	32
2019-04-03	43
2019-04-04	39
2019-04-05	34
2019-04-06	41
2019-04-07	47
2019-04-08	63
2019-04-09	38
2019-04-10	20
2019-04-11	19
2019-04-12	28
2019-04-13	29
2019-04-14	25
2019-04-15	23
2019-04-16	28
2019-04-17	30
2019-04-18	35
2019-04-19	53
2019-04-20	32
2019-04-21	20
2019-04-22	20
2019-04-23	27
2019-04-24	29
2019-04-25	37
2019-04-26	43
2019-04-27	19
2019-04-28	10
2019-04-29	20
2019-04-30	33
2019-05-01	26
2019-05-02	26
2019-05-03	16
2019-05-04	14
2019-05-05	10
2019-05-06	14
2019-05-07	20
2019-05-08	23
2019-05-09	20
2019-05-10	19
2019-05-11	17
2019-05-12	11
2019-05-13	13
2019-05-14	14
2019-05-15	11
2019-05-16	13
2019-05-17	25
2019-05-18	20
2019-05-19	19
2019-05-20	19
2019-05-21	16
2019-05-22	8
2019-05-23	11
2019-05-24	21
2019-05-25	22
2019-05-26	16
2019-05-27	18
2019-05-28	11
2019-05-29	13
2019-05-30	16
2019-05-31	19
2019-06-01	32
2019-06-02	19
2019-06-03	23
2019-06-04	23
2019-06-05	23
2019-06-06	21
2019-06-07	17
2019-06-08	17
2019-06-09	18
2019-06-10	24
2019-06-11	24
2019-06-12	27
2019-06-13	17
2019-06-14	24
2019-06-15	31
2019-06-16	19
2019-06-17	14
2019-06-18	0
2019-06-19	24
2019-06-20	18
2019-06-21	14
2019-06-22	14
2019-06-23	11
2019-06-24	17
2019-06-25	22
2019-06-26	30
2019-06-27	23
2019-06-28	13
2019-06-29	17
2019-06-30	19
2019-07-01	25
2019-07-02	18
2019-07-03	14
2019-07-04	20
2019-07-05	23
2019-07-06	22
2019-07-07	12
2019-07-08	13
2019-07-09	10
2019-07-10	12
2019-07-11	14
2019-07-12	23
2019-07-13	19
2019-07-14	13
2019-07-15	17
2019-07-16	14
2019-07-17	20
2019-07-18	24
2019-07-19	29
2019-07-20	0
2019-07-21	17
2019-07-22	19
2019-07-23	16
2019-07-24	18
2019-07-25	28
2019-07-26	18
2019-07-27	20
2019-07-28	18
2019-07-29	21
2019-07-30	22
2019-07-31	23
2019-08-01	16
2019-08-02	14
2019-08-03	14
2019-08-04	13
2019-08-05	15
2019-08-06	19
2019-08-07	15
2019-08-08	14
2019-08-09	18
2019-08-10	14
2019-08-11	16
2019-08-12	16
2019-08-13	14
2019-08-14	16
2019-08-15	16
2019-08-16	14
2019-08-17	15
2019-08-18	14
2019-08-19	11
2019-08-20	14
2019-08-21	12
2019-08-22	18
2019-08-23	20
2019-08-24	23
2019-08-25	22
2019-08-26	27
2019-08-27	25
2019-08-28	31
2019-08-29	35
2019-08-30	25
2019-08-31	22
2019-09-01	24
2019-09-02	13
2019-09-03	16
2019-09-04	20
2019-09-05	17
2019-09-06	16
2019-09-07	16
2019-09-08	9
2019-09-09	12
2019-09-10	13
2019-09-11	19
2019-09-12	18
2019-09-13	15
2019-09-14	17
2019-09-15	17
2019-09-16	14
2019-09-17	22
2019-09-18	14
2019-09-19	12
2019-09-20	20
2019-09-21	22
2019-09-22	20
2019-09-23	27
2019-09-24	48
2019-09-25	48
2019-09-26	18
2019-09-27	18
2019-09-28	12
2019-09-29	10
2019-09-30	23
2019-10-01	14
2019-10-02	10
2019-10-03	11
2019-10-04	16
2019-10-05	19
2019-10-06	17
2019-10-07	35
2019-10-08	21
2019-10-09	13
2019-10-10	10
2019-10-11	17
2019-10-12	14
2019-10-13	16
2019-10-14	30
2019-10-15	33
2019-10-16	19
2019-10-17	20
2019-10-18	28
2019-10-19	26
2019-10-20	22
2019-10-21	43
2019-10-22	40
2019-10-23	60
2019-10-24	51
2019-10-25	48
2019-10-26	30
2019-10-27	17
2019-10-28	19
2019-10-29	26
2019-10-30	37
2019-10-31	49
2019-11-01	45
2019-11-02	23
2019-11-03	25
2019-11-04	18
2019-11-05	27
2019-11-06	24
2019-11-07	33
2019-11-08	45
2019-11-09	33
2019-11-10	27
2019-11-11	32
2019-11-12	24
2019-11-13	11
2019-11-14	24
2019-11-15	30
2019-11-16	27
2019-11-17	29
2019-11-18	27
2019-11-19	36
2019-11-20	0
2019-11-21	37
2019-11-22	30
2019-11-23	31
2019-11-24	33
2019-11-25	60
2019-11-26	53
2019-11-27	35
2019-11-28	17
2019-11-29	16
2019-11-30	17
2019-12-01	37
2019-12-02	36
2019-12-03	22
2019-12-04	31
2019-12-05	42
2019-12-06	43
2019-12-07	13
2019-12-08	9
2019-12-09	19
2019-12-10	21
2019-12-11	44
2019-12-12	44
2019-12-13	33
2019-12-14	13
2019-12-15	10
2019-12-16	33
2019-12-17	63
2019-12-18	45
2019-12-19	62
2019-12-20	34
2019-12-21	36
2019-12-22	43
2019-12-23	21
2019-12-24	19
2019-12-25	11
2019-12-26	8
2019-12-27	8
2019-12-28	9
2019-12-29	13
2019-12-30	29
2019-12-31	22
2020-01-01	27
2020-01-02	82
2020-01-03	51
2020-01-04	11
2020-01-05	18
2020-01-06	21
2020-01-07	29
2020-01-08	23
2020-01-09	21
2020-01-10	25
2020-01-11	10
2020-01-12	23
2020-01-13	29
2020-01-14	31
2020-01-15	31
2020-01-16	52
2020-01-17	84
2020-01-18	35
2020-01-19	32
2020-01-20	34
2020-01-21	0
2020-01-22	26
2020-01-23	33
2020-01-24	62
2020-01-25	56
2020-01-26	87
2020-01-27	58
2020-01-28	23
2020-01-29	12
2020-01-30	14
2020-01-31	13
2020-02-01	10
2020-02-02	11
2020-02-03	0
2020-02-04	9
2020-02-05	11
2020-02-06	27
2020-02-07	18
2020-02-08	46
2020-02-09	33
2020-02-10	10
2020-02-11	9
2020-02-12	11
2020-02-13	18
2020-02-14	20
2020-02-15	26
2020-02-16	14
2020-02-17	15
2020-02-18	12
2020-02-19	0
2020-02-20	0
2020-02-21	17
2020-02-22	16
2020-02-23	6
2020-02-24	15
2020-02-25	11
2020-02-26	11
2020-02-27	18
2020-02-28	21
