Data Otwarcie Najwyzszy Najnizszy Zamkniecie Wolumen
2020-03-04 77.6 80.55 76 76.7 195028
2020-03-05 78.5 79.3 73.1 74.4 174558
2020-03-06 72.9 74.55 70 72.3 261544
2020-03-09 68.35 70.3 63 64 310454
2020-03-10 65 66.05 62.15 63 330576
2020-03-11 63.2 63.7 53.15 54.05 318462
2020-03-12 47.4 50 42.66 42.66 300273
2020-03-13 40.5 43.8 36.46 37.98 1477692
2020-03-16 35 35 28.36 29 1626928
2020-03-17 30.98 33.22 26.1 26.6 2272127
2020-03-18 26.84 28.6 24.3 24.98 2855052
2020-03-19 26 29.78 25.4 29.6 2128518
2020-03-20 32.22 38.6 30.5 32.68 3203805
2020-03-23 31.98 33.6 28 29.7 1338313
2020-03-24 32.38 32.6 28 29.06 1447922
2020-03-25 30 30.4 27.54 28.6 931329
2020-03-26 28 29.36 27.42 29.36 735721
2020-03-27 29.2 30 28.6 29.8 459824
2020-03-30 29.5 30.74 28.94 29.78 623112
2020-03-31 30.1 30.46 29.42 29.98 451583
2020-04-01 30.24 31.92 29.9 30.76 948451
2020-04-02 29.98 30.69 28.44 29.13 1230650
2020-04-03 29.09 29.19 28 28.9 639187
2020-04-06 29.7 33.73 29.66 33.19 1617767
2020-04-07 35.4 37.4 33.2 33.2 1850389
2020-04-08 33.5 33.64 31.5 33.28 521253
2020-04-09 34.5 36.57 34.02 35.4 1164977
2020-04-14 40.2 47 38.25 47 1601526
2020-04-15 54 56.8 45 46.56 3813196
2020-04-16 47 48.7 42.3 43.85 1416671
2020-04-17 46.5 48.7 44.6 46.3 1214828
2020-04-20 47 48.19 43.67 46.23 830649
2020-04-21 45.8 45.8 42.5 42.5 789453
2020-04-22 42.25 44.4 39.57 44.29 747048
2020-04-23 45.2 46.73 43.6 45.5 530928
2020-04-24 45 45.73 43.5 43.8 623163
2020-04-27 44 44.79 41 41.8 766179
2020-04-28 41.97 41.97 37.78 38.7 1264558
2020-04-29 38.77 48 38.52 46.5 4376233
2020-04-30 48 55.4 47.85 51.82 4254888
2020-05-04 52.38 52.5 47.5 48.6 1755729
2020-05-05 49.2 49.85 44.62 46.85 1589683
2020-05-06 47 47.37 44.5 44.57 842664
2020-05-07 44.5 45.45 42.43 43.7 759895
2020-05-08 44.2 44.39 41.27 41.65 1023852
2020-05-11 41.86 43.11 40.5 40.66 1055007
2020-05-12 40.42 40.9 39.25 40.2 1166600
2020-05-13 40.15 45.8 39.47 43.42 2218013
2020-05-14 42.9 45.68 40.2 42 1592159
2020-05-15 43.9 44.4 42.58 43.5 864238
2020-05-18 44.02 44.89 43.67 43.85 376692
2020-05-19 44.3 44.58 42.65 43.8 471647
2020-05-20 43.8 44.58 43.06 43.45 377165
2020-05-21 43.6 44.67 43.26 44.18 397764
2020-05-22 43.82 44.4 43.6 43.7 311496
2020-05-25 43.87 44.75 43.65 44.35 259317
2020-05-26 44.8 49 44.8 48.99 1144293
2020-05-27 51 52.54 47.7 48.59 1397538
2020-05-28 49.62 50.98 48.66 50.5 991359
2020-05-29 50.5 50.9 48.41 48.41 3287872
2020-06-01 49.28 49.9 48.3 49.9 497035
2020-06-02 50 56.68 49.7 56.4 2262524
2020-06-03 56.64 63 56.64 61.5 2605035
2020-06-04 65 71.5 62.52 70 2342402
2020-06-05 72.3 77.44 65.12 71.3 3352437
2020-06-08 73 73.5 66.02 69.5 1400395
2020-06-09 69.48 69.48 66.1 67.96 724012
2020-06-10 67.08 69.02 66.2 66.44 569940
2020-06-12 62.04 66 61.02 65.42 815606
2020-06-15 63.64 63.68 59.12 60.7 896741
2020-06-16 62.96 67.98 62.94 67.36 984895
2020-06-17 68.5 70.6 63.74 64 952269
2020-06-18 64.5 66.56 62.1 64.02 508476
2020-06-19 64.12 65.56 63.08 65.56 430319
2020-06-22 65.9 66.9 63.82 65 385564
2020-06-23 66 68 65.04 66 464725
2020-06-24 66 66.84 63.58 63.82 415744
2020-06-25 63.56 63.96 61.3 63.46 336876
2020-06-26 63.98 64.16 60.92 61 294924
2020-06-29 60.6 61.92 59.66 60.62 268275
2020-06-30 61 61.54 58.28 59.68 342427
2020-07-01 59.64 59.66 56.28 59 479459
2020-07-02 62 65.68 62 63.5 790278
2020-07-03 64 64.44 61.38 63 216388
2020-07-06 64 64.8 62.82 63.56 223030
2020-07-07 63.04 63.92 60.5 61.5 371715
2020-07-08 61.5 61.6 59.92 60.52 280225
2020-07-09 60.58 61.9 60.54 61.2 243865
2020-07-10 60.5 60.82 59.64 60.82 189557
2020-07-13 61.26 62.3 61.04 61.88 193944
2020-07-14 61.5 61.6 60.02 60.7 203409
2020-07-15 61.08 61.46 60.32 61.3 193348
2020-07-16 61.22 61.38 60.14 60.3 187051
2020-07-17 60.3 63.3 59.7 63 391245
2020-07-20 62.52 63.56 61.4 63.5 249410
2020-07-21 64.02 66.36 63.8 64.58 495169
2020-07-22 65 65.1 62.94 63.7 156646
2020-07-23 63.7 63.76 62.2 62.64 155031
2020-07-24 61.8 62 60.34 60.8 230489
2020-07-27 60.2 60.84 59.82 60.38 217112
2020-07-28 60 62.32 59.1 61.52 252692
2020-07-29 61.8 62.3 60.32 61.88 147227
2020-07-30 61.18 62 53.2 54.22 553728
