Data Otwarcie Najwyzszy Najnizszy Zamkniecie Wolumen
2019-02-27 184.34 184.34 179.35 180.35 96007
2019-02-28 179.35 185.43 179.35 182.84 141555
2019-03-01 182.54 186.93 181.05 185.33 109662
2019-03-04 187.32 192.31 186.43 187.32 110680
2019-03-05 188.72 189.22 185.33 187.22 87639
2019-03-06 188.32 188.32 186.93 187.32 62232
2019-03-07 187.32 191.31 187.32 189.91 84611
2019-03-08 188.72 191.31 187.52 190.31 44427
2019-03-11 191.31 192.31 190.31 191.81 91084
2019-03-12 192.31 192.7 188.82 191.11 75521
2019-03-13 191.81 192.51 190.91 191.61 38303
2019-03-14 188.12 190.11 179.35 189.02 86009
2019-03-15 189.32 202.47 188.52 202.47 400123
2019-03-18 202.47 213.83 202.47 212.63 238993
2019-03-19 213.63 214.83 211.24 213.23 68783
2019-03-20 211.64 213.03 208.85 211.84 93396
2019-03-21 211.44 214.43 209.05 212.23 92247
2019-03-22 212.23 212.23 207.25 208.25 91639
2019-03-25 207.65 211.24 207.25 209.25 124244
2019-03-26 208.25 209.44 205.66 209.25 97420
2019-03-27 209.84 211.64 207.85 210.24 96826
2019-03-28 208.85 212.83 208.25 212.83 114068
2019-03-29 215.82 215.82 211.44 214.43 159830
2019-04-01 215.62 217.61 214.43 216.22 85433
2019-04-02 224.19 247.11 223.39 247.11 495479
2019-04-03 249.1 257.87 235.15 237.54 362917
2019-04-04 238.14 239.14 228.18 228.97 136423
2019-04-05 231.37 234.16 226.18 226.18 105785
2019-04-08 226.18 236.35 226.18 233.36 101784
2019-04-09 235.15 236.55 230.57 231.17 65422
2019-04-10 230.17 234.95 230.17 234.55 73268
2019-04-11 235.95 243.92 235.15 237.74 99170
2019-04-12 237.14 241.93 231.56 234.55 70922
2019-04-15 234.95 236.15 228.38 229.57 47698
2019-04-16 229.57 234.75 224.39 226.18 89767
2019-04-17 227.38 235.55 227.38 232.96 58307
2019-04-18 232.96 235.15 227.98 232.16 45555
2019-04-23 234.16 237.94 227.38 229.17 39581
2019-04-24 228.58 229.17 220.4 222.2 97143
2019-04-25 219.61 230.97 219.61 229.37 162169
2019-04-26 230.17 233.16 227.58 230.17 63557
2019-04-29 213.43 216.22 199.48 205.66 367829
2019-04-30 206.46 210.04 205.06 206.65 140867
2019-05-02 206.65 207.65 203.67 203.67 44572
2019-05-06 202.07 204.66 190.91 193.3 199378
2019-05-07 194.3 196.19 185.33 185.53 118861
2019-05-08 187.32 191.81 187.32 189.32 129595
2019-05-09 190.11 191.11 184.34 186.33 123620
2019-05-10 189.32 191.01 185.13 186.83 57138
2019-05-13 187.92 187.92 178.26 181.94 105446
2019-05-14 181.84 184.53 178.16 178.16 111757
2019-05-15 179.45 183.14 175.87 178.16 105209
2019-05-16 177.36 181.45 163.11 164.81 245519
2019-05-17 165.2 166.2 157.03 165.2 152372
2019-05-20 164.41 168.39 156.54 159.13 113312
2019-05-21 160.62 162.41 157.83 160.42 93176
2019-05-22 160.02 167.79 159.42 165.2 123391
2019-05-23 166.4 167.2 159.92 161.12 101858
2019-05-24 161.42 163.11 155.24 158.73 119259
2019-05-27 158.73 159.03 151.55 151.95 111421
2019-05-28 152.75 154.24 147.57 147.57 322326
2019-05-29 147.57 150.46 146.07 147.97 133159
2019-05-30 149.56 158.73 149.56 157.13 243388
2019-05-31 156.04 158.33 153.55 156.14 189074
2019-06-03 156.44 156.93 152.35 153.35 96063
2019-06-04 151.65 152.25 146.27 148.46 374123
2019-06-05 150.16 154.34 147.47 153.25 128472
2019-06-06 153.25 156.63 149.56 149.96 95680
2019-06-07 151.45 152.85 150.06 151.95 58051
2019-06-10 151.45 154.74 151.15 152.75 60357
2019-06-11 153.15 154.34 150.56 150.56 65291
2019-06-12 151.15 152.25 147.07 148.66 101724
2019-06-13 149.76 154.74 147.57 153.45 117093
2019-06-14 154.44 156.63 150.66 150.86 123936
2019-06-17 151.95 152.45 150.96 151.35 49219
2019-06-18 151.75 154.44 149.66 153.75 113511
2019-06-19 154.14 159.03 151.75 158.43 113149
2019-06-21 159.33 164.31 158.93 161.62 304385
2019-06-24 161.92 166.3 161.92 163.91 93876
2019-06-25 164.41 164.91 158.53 160.82 96781
2019-06-26 161.32 167.6 158.73 167.6 174267
2019-06-27 167.6 173.87 166.1 167.1 114181
2019-06-28 167.4 170.48 164.11 167.99 65664
2019-07-01 170.39 174.87 170.29 174.37 146695
2019-07-02 178.76 178.85 161.52 165.8 333921
2019-07-03 165.9 165.9 160.12 161.82 164963
2019-07-04 161.82 165.8 160.62 165.1 127919
2019-07-05 165.5 165.5 161.72 162.21 57435
2019-07-08 163.01 163.61 153.45 154.44 199254
2019-07-09 153.35 153.35 146.67 150.46 305920
2019-07-10 150.66 157.93 149.76 153.15 153501
2019-07-11 155.84 155.94 150.46 151.65 81613
2019-07-12 152.15 153.45 151.75 152.95 37496
2019-07-15 153.45 154.24 151.95 153.45 70144
2019-07-16 154.44 155.44 152.85 153.35 50538
2019-07-17 153.85 155.74 149.66 151.45 54306
2019-07-18 151.15 152.75 148.17 150.66 73789
2019-07-19 151.95 154.94 150.46 154.04 67309
2019-07-22 154.74 156.93 152.05 155.14 45636
2019-07-23 156.73 157.43 153.55 153.65 39307
2019-07-24 154.44 156.63 153.85 156.44 228697
2019-07-25 156.44 158.23 154.04 155.64 60895
2019-07-26 154.64 155.24 153.55 154.44 52471
2019-07-29 154.44 154.44 149.46 149.76 70821
2019-07-30 149.76 151.25 146.47 146.87 104637
2019-07-31 147.47 151.25 146.07 149.46 149466
2019-08-01 149.76 149.76 143.08 144.28 140063
2019-08-02 144.48 144.48 130.53 136.61 189688
2019-08-05 136.21 137.3 130.03 130.23 147989
2019-08-06 129.53 133.52 126.05 127.54 152905
