Data Otwarcie Najwyzszy Najnizszy Zamkniecie Wolumen
2020-03-04 300.3 304.4 292.5 295.6 412457
2020-03-05 303 305.5 294.2 297.6 303548
2020-03-06 294.6 294.9 283 293.2 363928
2020-03-09 266 284 259.5 270 706198
2020-03-10 275 280 268 270.3 454369
2020-03-11 271 271.7 242 251 797219
2020-03-12 228 235 205.2 216.1 1333242
2020-03-13 230 253 223.8 243.9 1236428
2020-03-16 235.9 272 222 252 982178
2020-03-17 262 272.8 255.2 268.6 861016
2020-03-18 269.5 281.2 255.3 258.3 715112
2020-03-19 258.3 273.5 256.5 273.5 511952
2020-03-20 281 283.3 256.4 266.5 934660
2020-03-23 257.1 272 250 265.2 439015
2020-03-24 277.1 280.6 268.3 276.6 433759
2020-03-25 284 287.7 272 277.6 382919
2020-03-26 275.9 281.8 273.5 281.1 294820
2020-03-27 282.5 283.8 274.6 279 284034
2020-03-30 280 280.9 273.2 280.9 279021
2020-03-31 283 289.9 281.2 289.1 355097
2020-04-01 283.5 287.9 279 282.1 268501
2020-04-02 282.1 287.8 276.5 287.8 289435
2020-04-03 289 297.8 285.1 297 414091
2020-04-06 305 318.7 304.3 318.2 399014
2020-04-07 329 331.6 302.7 302.7 566762
2020-04-08 295 311.8 293 308.9 303777
2020-04-09 331 333.9 319.7 329 688443
2020-04-14 331 342.8 324.6 342 414126
2020-04-15 343.7 344.9 338.3 342.2 571736
2020-04-16 342.8 344.6 332.7 334.2 416488
2020-04-17 338.3 344.2 337 339.5 233059
2020-04-20 339 346 335 345.2 224055
2020-04-21 342.6 344.2 336 336 187420
2020-04-22 336 347 334 347 259665
2020-04-23 343 354.7 342 354.7 303812
2020-04-24 351.6 373.4 344 363.4 446099
2020-04-27 367.5 374 366.1 368 327997
2020-04-28 368.3 372.4 358.3 359.1 328814
2020-04-29 359.1 365.1 353.4 361.2 256529
2020-04-30 362.7 367.5 351.4 357.6 326043
2020-05-04 351 365 348.6 357.9 245954
2020-05-05 360.3 361 351.2 357.5 205543
2020-05-06 361.5 363.6 356.3 360 432837
2020-05-07 360 363.2 354.1 355.6 197347
2020-05-08 359.2 359.7 352.5 354.9 192114
2020-05-11 358 363.6 354.1 363 237309
2020-05-12 360.8 375.9 360.5 372.8 422044
2020-05-13 371 379.6 370.4 379.5 275912
2020-05-14 377.1 378.6 364.2 370 341333
2020-05-15 370.1 374.6 366.3 371.1 240329
2020-05-18 375.4 385.2 371 385.2 244895
2020-05-19 388.1 389 377.7 379.7 247629
2020-05-20 381.8 397.4 380.2 395 326271
