Data Otwarcie Najwyzszy Najnizszy Zamkniecie Wolumen
2020-03-04 77.26 78.8 75.6 75.6 584674
2020-03-05 77.14 77.34 73.02 73.12 619956
2020-03-06 71.72 71.82 69.06 69.96 950443
2020-03-09 62.98 65.7 60.94 62.2 1347285
2020-03-10 63.64 66.68 62 62.2 1151935
2020-03-11 62.7 63.78 58.54 58.8 1128981
2020-03-12 55.1 55.5 49.4 49.4 1341538
2020-03-13 52.8 56.9 50.24 52.48 1989523
2020-03-16 52.5 52.78 48.01 51.54 1934204
2020-03-17 53 56.82 52.88 55 1876124
2020-03-18 52 55.1 50.1 52.66 2053467
2020-03-19 53 58 52.98 56.46 1080645
2020-03-20 59.5 61.9 57.66 57.92 2049824
2020-03-23 56.42 57.4 54 54.64 1181462
2020-03-24 58 58.7 56.5 58.44 1145335
2020-03-25 61 61 56.6 58.96 1250882
2020-03-26 57.02 59.5 56.64 59.36 835103
2020-03-27 59.86 59.94 57.56 58.1 695695
2020-03-30 58.88 58.98 56.72 57.4 584804
2020-03-31 58.7 60.1 58.4 59.82 1003025
2020-04-01 59 59.88 58.08 58.72 636516
2020-04-02 58.9 59.4 57.22 58.96 784258
2020-04-03 58.96 59.34 57.3 59.24 1320204
2020-04-06 60.6 65.38 60.6 65 1319789
2020-04-07 67.82 71.58 67.6 69 1839137
2020-04-08 69.16 69.8 67.28 67.5 996446
2020-04-09 69 69.5 67.2 69.34 867360
2020-04-14 72.8 75.9 71.96 74.96 1376863
2020-04-15 76 76 69.52 70.26 1192745
2020-04-16 71 71.46 69.52 70.62 660305
2020-04-17 73.12 73.8 72.3 72.44 701791
2020-04-20 72.96 73.14 71.1 72.82 526120
2020-04-21 71.5 71.9 69.1 69.76 710567
2020-04-22 69.4 72.5 67.9 72 617107
2020-04-23 72.5 73.8 71.58 73.8 550731
2020-04-24 72.9 74.1 72.3 72.8 416431
2020-04-27 74 74.22 71.82 72.5 518691
2020-04-28 72.5 73.98 71.06 73.54 583511
2020-04-29 74 78.46 73.64 77.7 779039
2020-04-30 77.9 79.3 75.8 76.98 759522
2020-05-04 75 75.3 73.12 74 545829
2020-05-05 75 76.22 74.26 74.86 333140
2020-05-06 75 75.1 73.4 74 518069
2020-05-07 74.14 75.9 73.1 75.18 419259
2020-05-08 76.06 77.3 76.02 77 346591
2020-05-11 77.38 77.9 74.62 75.34 424455
2020-05-12 74.62 76.62 74.44 75.64 310463
2020-05-13 75 75.52 73.8 73.8 396288
2020-05-14 73.4 74.3 71.06 72 704586
2020-05-15 73 74.8 72.68 72.76 571077
2020-05-18 74.5 81.3 74.5 81.12 2216140
2020-05-19 81.78 83.98 80.34 82.9 908110
2020-05-20 82.9 83.52 81.28 83.1 586895
2020-05-21 83.1 83.3 80.9 81.1 471302
2020-05-22 79 80.34 78.08 79.92 425546
2020-05-25 80.8 81.26 80.14 80.44 181932
2020-05-26 82.1 85.34 81.56 85.2 851848
2020-05-27 85.2 88.86 84.18 85.32 1262369
2020-05-28 86.5 86.86 84.32 85.38 930194
2020-05-29 85 87 85 86.28 1211028
2020-06-01 88.3 88.86 86.5 87.42 482699
2020-06-02 87.6 88.8 86.9 88.1 676385
2020-06-03 88.3 89.82 87.68 87.86 770393
2020-06-04 87.8 89.12 87.08 88.2 618894
2020-06-05 89 92.3 88.78 91.52 1026007
2020-06-08 91.52 91.7 89.62 90.8 598281
2020-06-09 90.8 91.4 87.6 88.62 709871
2020-06-10 89 90.28 87.58 89.9 616858
2020-06-12 85.88 89 84.5 87.4 720754
2020-06-15 85.06 85.66 83.3 84.9 787609
2020-06-16 87 89.76 86.58 87.72 786346
2020-06-17 88.76 89.04 85.94 86.82 602092
2020-06-18 87 88.98 86.22 86.5 716203
2020-06-19 87.5 88.54 87.1 87.9 990876
2020-06-22 87.88 87.96 86.32 86.92 308182
2020-06-23 86.54 89.96 86.54 89.9 565992
2020-06-24 89.86 91.68 88.34 88.56 496999
2020-06-25 88.22 90.08 87.94 89.86 426844
2020-06-26 90 90.84 88.4 88.68 550372
2020-06-29 88.6 90.46 88.6 90.46 371375
2020-06-30 90.5 91.22 89.6 90.9 861061
2020-07-01 90.56 93 90.44 92.96 744389
2020-07-02 92.98 96.5 92.74 95.38 1084230
2020-07-03 95.38 96 93.72 94.26 377560
2020-07-06 96.1 97.9 95.78 97 580056
2020-07-07 96.72 97.18 95.5 97 413000
2020-07-08 96.4 97.6 96.26 97.2 383054
2020-07-09 97.7 102.35 97.7 101.4 1490117
2020-07-10 100.3 102 99 102 517415
2020-07-13 104 108.6 103.4 107.75 1245530
2020-07-14 106 106.55 103.8 105.55 845888
2020-07-15 106 107.75 105 107.1 682497
2020-07-16 105.4 107 104.5 107 606082
2020-07-17 106.3 107.4 105.45 107.25 627392
2020-07-20 106.75 110.6 106 110.6 1016677
2020-07-21 111.4 114.05 111.1 113 1221117
2020-07-22 113.2 115.6 113 115 1289057
2020-07-23 115.6 119.8 115.55 119 995508
2020-07-24 116.6 119.4 111.3 119.2 1052097
2020-07-27 119.9 130.6 119.1 130.4 1656933
2020-07-28 130.05 133.4 125.85 129.45 1554639
2020-07-29 126 133.05 126 131.4 1282746
2020-07-30 130 130.4 123.3 125.9 879362
2020-07-31 125.1 128.7 125.1 126.05 999532
2020-08-03 126.8 131.45 126 130.15 870649
2020-08-04 130.15 131 127.4 129.45 549710
2020-08-05 131 137.6 131 137.2 1583096
2020-08-06 137.2 139.95 135.8 139.35 1143946
2020-08-07 138.6 139.3 135.4 136 652834
2020-08-10 136 139.45 136 138 505684
2020-08-11 137.05 139.8 131.2 132 714050
2020-08-12 127.05 134.35 126.05 134.35 949304
2020-08-13 134.1 134.15 132.5 133.5 393669
2020-08-14 133.6 134.4 131.25 132 397840
2020-08-17 132.5 135.95 132.5 135.95 542420
2020-08-18 135.4 137.55 135.2 136 699125
2020-08-19 138 139.7 137.2 138.25 587285
2020-08-20 135 136 130.3 134.3 711380
2020-08-21 134.55 135.65 132.4 133.85 470217
2020-08-24 134.4 138.45 134.35 137.9 369957
2020-08-25 137.85 138.7 133.3 133.55 259251
2020-08-26 134 137.45 133.1 137.45 407617
2020-08-27 137.3 137.45 134.85 135.7 499826
2020-08-28 136.8 137.4 135.35 136.65 349273
2020-08-31 136.6 138.2 136.05 136.85 729786
2020-09-01 138 139.5 136 136.25 640779
2020-09-02 136.45 139.5 136.05 138.2 638032
2020-09-03 138.15 138.45 133.15 133.15 586655
2020-09-04 132 136.25 130.1 134.5 544425
2020-09-07 135.5 137.45 135.5 137 552550
2020-09-08 137.5 138.1 130.2 131.15 711286
2020-09-09 131 138 130.7 137.4 525885
2020-09-10 136.2 136.95 134.25 134.85 316234
2020-09-11 135.3 136.45 133.45 136.45 415163
2020-09-14 137 139.3 136.35 136.85 424850
2020-09-15 137.4 138.4 135.2 136.3 479970
2020-09-16 136.3 136.5 134.15 135.2 630763
2020-09-17 132.1 133.65 130.85 132 822628
2020-09-18 133.3 134.75 132.75 134.05 1068263
2020-09-21 132.5 134.6 127.5 127.6 446175
2020-09-22 127.3 129.25 126.45 126.75 393595
2020-09-23 123 124.95 116.5 120.85 535449
2020-09-24 118 119.6 115.9 116.75 710438
2020-09-25 117.65 121.5 116.7 118.05 586916
2020-09-28 120.85 122.3 118.8 121.45 468723
2020-09-29 121 121.45 118.05 118.25 378883
2020-09-30 117.65 118.4 114.5 118 572246
2020-10-01 118.5 120.15 115.15 115.15 370488
2020-10-02 113.7 115.3 112 115 586425
2020-10-05 114.45 119.3 114.4 118.3 736851
2020-10-06 118.95 119.3 115.7 117.2 391568
2020-10-07 116.85 120 115.8 120 640460
2020-10-08 120.9 121.4 115 116.15 590399
2020-10-09 115.5 119.95 115.5 119.95 440087
2020-10-12 120.7 125.2 119.95 121.9 776814
2020-10-13 122 122 118.05 119 225824
2020-10-14 119.95 125.4 119.8 124.5 899114
2020-10-15 123 125.15 122.35 124.5 1192143
2020-10-16 125.15 128.65 124.85 126.35 644846
2020-10-19 127 128.45 124.95 125 389888
2020-10-20 124.8 128.2 124.35 128.2 499246
2020-10-21 128.9 131.25 128.3 131.2 646149
2020-10-22 130.6 131.6 126.7 127.1 574044
2020-10-23 126.8 128.55 126.2 126.5 1084855
2020-10-26 125.1 126.75 124.05 125 424064
2020-10-27 125 127.6 124.1 125.85 492900
2020-10-28 124.5 126.9 122.55 123.3 1214095
2020-10-29 123.3 124.75 117.85 117.85 849696
2020-10-30 115 118.25 114.05 118.15 610761
2020-11-02 118.1 120.8 116.5 120.2 343473
2020-11-03 121.2 130.95 120.6 130.95 794656
2020-11-04 128 128.55 123.4 128.4 696116
2020-11-05 129 133.1 127.5 132.3 638370
2020-11-06 131 137.95 129.65 137.85 715103
2020-11-09 137.85 142.5 136.35 137.45 902421
2020-11-10 136.15 137 132.7 134.65 508121
2020-11-12 133.9 138 132.1 137 585390
2020-11-13 136.05 136.8 133.7 135.55 409985
2020-11-16 138 144.9 138 144.9 919859
2020-11-17 143.75 148.35 141 142.6 1063705
2020-11-18 142.6 144.7 141 141 408899
2020-11-19 140.2 141 135.45 135.95 488626
