Data Otwarcie Najwyzszy Najnizszy Zamkniecie Wolumen
2020-03-04 60.991 60.991 58.079 58.079 1724539
2020-03-05 59.417 59.613 55.639 55.934 1771476
2020-03-06 55.344 55.58 52.649 53.455 1815030
2020-03-09 49.186 55.206 48.478 53.357 3178920
2020-03-10 54.951 55.364 50.229 50.583 2239559
2020-03-11 50.878 51.626 45.349 45.713 2154124
2020-03-12 43.736 45.192 41.316 42.733 2411364
2020-03-13 43.677 50.543 42.713 44.936 2802910
2020-03-16 44.946 48.497 41.975 47.218 2982840
2020-03-17 48.832 50.662 46.727 48.655 2929913
2020-03-18 49.186 50.563 46.235 47.091 2134472
2020-03-19 47.71 49.875 46.943 49.678 1888948
2020-03-20 51.842 52.806 50.839 51.724 3586229
2020-03-23 51.153 52.511 48.31 48.91 1402558
2020-03-24 51.645 51.744 48.851 49.284 1571265
2020-03-25 51.567 51.606 48.871 50.366 1364742
2020-03-26 49.875 52.039 49.284 52.039 1544174
2020-03-27 52.039 52.452 50.583 51.094 1725338
2020-03-30 51.508 52.472 49.894 51.626 1488715
2020-03-31 52.137 54.793 51.508 54.793 2861580
2020-04-01 53.121 55.029 52.137 54.675 1984324
2020-04-02 57.134 61.64 56.465 59.22 4229846
2020-04-03 60.007 62.801 58.61 59.869 7632254
2020-04-06 62.21 62.958 60.518 62.761 2423839
2020-04-07 63.745 66.814 63.745 63.843 2719843
2020-04-08 64.138 65.339 62.171 63.745 2204738
2020-04-09 64.827 65.496 62.171 63.804 2043737
2020-04-14 64.925 65.004 62.997 64.001 2548104
2020-04-15 64.532 64.532 60.912 60.991 1858152
2020-04-16 59.358 60.341 58.236 59.023 3293472
2020-04-17 60.499 60.774 59.181 60.243 2225033
2020-04-20 60.991 61.404 59.259 60.892 1748798
2020-04-21 60.204 60.204 57.252 58.039 1271119
2020-04-22 58.039 60.302 56.583 59.869 1596594
2020-04-23 60.499 60.794 59.495 60.459 1493083
2020-04-24 60.105 60.499 59.771 59.849 921970
2020-04-27 60.479 60.479 57.548 58.472 1126987
2020-04-28 58.649 60.302 57.292 59.535 1156533
2020-04-29 60.027 60.971 58.846 60.42 1726167
2020-04-30 60.971 62.368 60.695 61.345 2532488
2020-05-04 60.145 60.282 58.472 58.551 1374166
2020-05-05 58.826 60.164 58.826 59.515 1351262
2020-05-06 59.023 59.023 56.583 57.587 3529463
2020-05-07 57.764 60.243 56.859 59.869 1490853
2020-05-08 60.381 62.171 60.066 61.797 1348932
2020-05-11 61.797 62.683 61.089 61.896 914271
2020-05-12 61.974 63.942 61.699 63.489 1436871
2020-05-13 63.155 63.292 61.187 61.719 1157521
2020-05-14 61.423 61.719 58.905 60.381 1469491
2020-05-15 61.325 61.876 59.397 59.672 978879
2020-05-18 60.597 63.548 60.499 63.411 1445821
2020-05-19 64.197 64.532 62.525 62.761 1381698
2020-05-20 62.368 63.843 62.014 63.509 1397284
2020-05-21 63.194 63.411 62.25 62.643 830948
2020-05-22 62.368 62.505 61.482 61.482 627154
2020-05-25 62.25 62.742 61.856 62.033 202277
2020-05-26 63.155 65.398 62.86 64.788 1278428
2020-05-27 65.221 68.368 64.925 65.457 1864327
2020-05-28 65.457 67.562 64.63 66.362 1262536
2020-05-29 65.909 66.086 64.197 65.673 2458221
2020-06-01 66.696 66.893 65.417 66.598 620535
2020-06-02 66.637 66.893 65.221 66.696 1649213
2020-06-03 66.893 68.408 66.716 67.64 1565957
2020-06-04 67.64 67.975 66.735 67.719 1215949
2020-06-05 67.818 72.205 67.759 71.497 2498059
2020-06-08 71.811 72.303 69.923 70.434 1657410
2020-06-09 70.336 70.611 67.955 68.388 1506614
2020-06-10 68.565 69.352 67.955 68.742 1559233
2020-06-12 65.909 66.755 63.45 65.28 1903215
2020-06-15 64.375 64.375 61.679 61.719 1668951
2020-06-16 63.076 66.165 63.076 65.417 1521747
2020-06-17 65.909 66.106 63.961 65.024 1642929
2020-06-18 65.024 65.771 63.745 64.827 1614403
2020-06-19 65.378 65.811 64.394 65.162 6270655
2020-06-22 65.221 65.221 63.942 64.06 800170
2020-06-23 64.729 66.263 64.709 65.299 977437
2020-06-24 65.319 65.339 63.037 63.037 1035996
2020-06-25 62.958 64.296 61.738 63.568 1178582
2020-06-26 63.942 64.552 62.545 62.683 767375
2020-06-29 62.683 63.548 61.227 62.565 1050609
2020-06-30 62.761 63.037 61.148 61.6 1187145
2020-07-01 61.974 62.289 60.794 62.25 879307
2020-07-02 62.584 63.745 62.407 62.486 1293328
2020-07-03 62.86 62.879 61.522 62.407 450212
2020-07-06 63.647 63.824 61.974 62.958 1228984
2020-07-07 62.958 62.958 62.073 62.289 788408
2020-07-08 62.132 62.191 60.223 60.754 1853146
2020-07-09 60.991 61.168 59.869 60.204 1179650
2020-07-10 60.007 60.44 59.023 60.42 867533
2020-07-13 61.42 62.1 61 61.38 660364
2020-07-14 61.98 64.08 58.5 58.5 3172279
2020-07-15 59.46 59.46 57.36 57.52 3522263
2020-07-16 57.4 59.64 56.74 59.38 1646698
2020-07-17 59.76 59.98 58.24 59.3 753318
2020-07-20 59.24 59.84 58.14 59.18 892802
2020-07-21 59.52 60.7 58.92 59.74 984925
2020-07-22 59.8 60 58.78 58.78 638644
2020-07-23 59.3 59.4 57.6 57.62 772714
2020-07-24 57.4 57.82 56.64 57.82 800992
2020-07-27 57.82 57.88 56.64 56.94 687163
2020-07-28 57.44 58.96 57 57.32 817353
2020-07-29 57.32 57.36 55.8 56.22 727279
2020-07-30 56.1 56.14 52.88 53 980078
2020-07-31 53.2 54.5 52.28 53.28 1075247
2020-08-03 53.54 53.82 52.44 53.02 708088
2020-08-04 53.5 53.7 52.7 53.38 1088272
2020-08-05 54 55.58 53.4 54.08 1061625
2020-08-06 54.08 54.52 51.52 52.36 1238989
2020-08-07 52.46 53.74 52.44 53.64 784371
2020-08-10 54 54.1 52.72 53.2 567161
2020-08-11 53.56 54.78 53.02 54.5 1108784
2020-08-12 54.7 56.18 54.3 55.46 1208792
2020-08-13 55.62 57.72 55.4 55.7 1299770
2020-08-14 55.86 56.3 54.76 55.58 629542
2020-08-17 55.5 56.58 55.1 56.58 908319
2020-08-18 56.6 56.6 53.6 53.62 1375019
2020-08-19 53.8 53.8 52.58 52.58 1050867
2020-08-20 52.58 54.78 52.3 53.68 800850
2020-08-21 54.16 54.26 52.8 53.02 628879
2020-08-24 53.44 53.8 52.62 53.18 726457
2020-08-25 53.7 55.18 53.54 53.7 1258134
2020-08-26 53.6 54.96 53.34 54.28 1068521
2020-08-27 54.52 54.58 53.22 53.9 558125
2020-08-28 53.62 53.88 52.22 52.42 1186598
2020-08-31 52.7 53.4 50.64 50.64 2001045
2020-09-01 50.86 51.46 49.5 50.32 1082599
2020-09-02 50.76 51.12 49.87 50.3 925487
2020-09-03 50.56 51.2 50.2 50.5 714084
2020-09-04 50.12 51.22 50 50.28 567687
2020-09-07 51 51 50 50.44 322224
2020-09-08 50.66 50.82 47.86 48.1 1222968
2020-09-09 48.3 49.82 48.19 49.44 1936925
2020-09-10 49.8 50.08 48.3 49.22 703883
2020-09-11 49.46 49.51 48.62 49.51 651998
2020-09-14 50.2 50.28 48.8 48.91 489947
2020-09-15 49 49.41 48.21 48.6 767342
2020-09-16 48.73 48.73 47.53 47.7 765202
2020-09-17 49.44 49.88 47.55 49.88 1302162
2020-09-18 49.89 49.89 48.11 48.11 1658241
2020-09-21 48.12 48.59 46.26 46.5 981557
2020-09-22 46.55 46.8 44.8 45.4 1255401
2020-09-23 45.05 46.26 45.02 45.17 869355
2020-09-24 45 45.08 43.85 44.07 988582
2020-09-25 44.1 44.94 44.05 44.43 844178
2020-09-28 45 46.67 44.49 46.5 933130
2020-09-29 46.66 46.8 45.02 45.16 855237
2020-09-30 45.15 46.1 44.84 45.85 900730
2020-10-01 46.32 46.45 44.86 44.86 757520
2020-10-02 44.64 44.66 43.7 43.94 1190542
2020-10-05 44.8 46.64 44.8 46 978534
2020-10-06 46.98 47.2 46.25 46.79 808101
2020-10-07 46.76 46.87 46.15 46.76 678914
2020-10-08 46.92 46.95 45.97 46.66 829313
2020-10-09 46.4 46.4 44.93 45.83 1252860
2020-10-12 45.98 46.18 44.58 44.7 1148098
2020-10-13 44.72 45 43.16 43.94 1420674
2020-10-14 44 44.06 42.82 43.3 1779708
2020-10-15 42.8 42.95 40.76 40.8 1573861
2020-10-16 40.82 42.45 40.02 42.1 1213883
2020-10-19 42.93 43.4 42.28 42.64 1263641
2020-10-20 42.6 43.08 41.44 42.45 867743
2020-10-21 42.49 43.1 41.8 41.8 664705
2020-10-22 41.5 42.19 41 41.84 847850
2020-10-23 42.02 42.7 41.54 41.76 1372466
2020-10-26 41.28 41.58 40.12 40.12 831604
2020-10-27 40.2 40.3 38.09 38.65 1893772
