Data Otwarcie Najwyzszy Najnizszy Zamkniecie Wolumen
2019-02-27 100.11 100.59 97.268 97.411 613560
2019-02-28 97.929 98.451 95.894 96.604 1137358
2019-03-01 97.174 97.552 95.467 95.467 557942
2019-03-04 96.036 98.126 94.557 96.225 768731
2019-03-05 95.941 97.6 95.941 96.131 382117
2019-03-06 96.32 97.647 95.751 97.647 461383
2019-03-07 97.221 98.264 96.51 96.841 502041
2019-03-08 96.462 98.077 95.467 97.647 562755
2019-03-11 98.028 98.451 96.794 97.363 684203
2019-03-12 98.313 98.451 96.557 97.078 840475
2019-03-13 96.652 97.078 96.036 96.604 732392
2019-03-14 97.078 97.268 96.225 96.557 423945
2019-03-15 97.174 99.021 96.462 96.747 2485427
2019-03-18 97.552 98.077 96.036 96.036 475669
2019-03-19 96.557 97.174 96.178 96.7 396102
2019-03-20 96.225 96.652 94.519 95.751 643542
2019-03-21 96.178 96.178 94.766 95.988 535830
2019-03-22 95.894 96.51 94.803 94.803 640423
2019-03-25 94.329 94.946 93.002 93.097 528173
2019-03-26 93.476 94.197 93.002 93.969 436149
2019-03-27 94.576 94.576 91.959 93.116 567380
2019-03-28 93.04 93.476 92.793 93.343 587300
2019-03-29 93.76 94.14 92.528 92.566 798830
2019-04-01 93.76 94.946 92.585 94.746 507702
2019-04-02 95.04 95.988 93.856 94.31 516388
2019-04-03 95.42 98.647 94.708 98.165 688881
2019-04-04 97.929 98.401 96.036 96.036 723548
2019-04-05 96.273 97.88 93.077 93.077 636118
2019-04-08 93.57 94.519 92.926 94.083 694897
2019-04-09 94.14 95.751 93.684 94.993 856459
2019-04-10 95.324 96.841 94.898 96.747 617739
2019-04-11 96.415 96.747 95.087 95.277 683169
2019-04-12 95.609 96.604 95.183 96.415 411802
2019-04-15 96.083 96.083 94.633 95.277 656295
2019-04-16 95.514 96.32 94.993 96.32 697221
2019-04-17 96.367 98.126 96.036 97.552 639677
2019-04-18 96.984 97.315 95.704 95.894 559507
2019-04-23 96.131 97.174 96.036 96.32 389152
2019-04-24 96.32 96.652 95.561 96.083 746755
2019-04-25 95.561 95.941 93.192 95.561 853421
2019-04-26 95.277 95.373 93.476 94.064 609486
2019-04-29 94.614 94.993 93.192 94.273 459000
