Data Otwarcie Najwyzszy Najnizszy Zamkniecie Wolumen
2020-03-04 268 276.4 268 274 53365
2020-03-05 270 276.4 265.2 266.8 58814
2020-03-06 261.4 263.4 248 252.2 74158
2020-03-09 240.6 242 222.8 228 121099
2020-03-10 228 232.4 217.6 221.4 81951
2020-03-11 221.4 225 205.8 208.6 78601
2020-03-12 193.3 194.9 172.1 172.1 101018
2020-03-13 177 191.3 164.7 186.5 190412
2020-03-16 180 180 157.1 168.2 187423
2020-03-17 170 205.6 170 195.6 163734
2020-03-18 193 194.3 176.2 190.6 89065
2020-03-19 187.4 210 184.2 210 87756
2020-03-20 219.4 241.2 199.9 204 275885
2020-03-23 190 194.4 178.6 179.4 147013
2020-03-24 190 190.9 175 175.2 148492
2020-03-25 186 186 162.9 175.9 187923
2020-03-26 172.4 177.7 168.5 177.7 107243
2020-03-27 178 179 171 173.9 100665
2020-03-30 172.7 174.1 169 174.1 57558
2020-03-31 175 178.3 171.2 173.5 111564
2020-04-01 170.1 172.3 165 165.5 117808
2020-04-02 165 165.4 153.5 157.9 201633
2020-04-03 154.7 156.9 148.2 152.5 221640
2020-04-06 157.5 173.8 157.5 172.9 133718
2020-04-07 173.8 181.3 173.8 176.6 149285
2020-04-08 177 178.8 164 165.5 181933
2020-04-09 165.8 174 163.2 167.8 145630
2020-04-14 174.4 177 168.8 172.5 168827
2020-04-15 174 174 160 160.7 196997
2020-04-16 162.5 162.9 158.2 159 169289
2020-04-17 162 162.8 156 157 129072
2020-04-20 157 160.3 154.1 158.7 81640
2020-04-21 156.5 158.1 151.9 152 89688
2020-04-22 154.8 154.8 150.5 153 104095
2020-04-23 154.3 157 148.3 150 150771
2020-04-24 149 150.1 145.3 145.3 124763
2020-04-27 148.2 152 143.5 145.2 170789
2020-04-28 144 152.9 144 150.4 196374
2020-04-29 152.9 167.7 148.3 166 162042
2020-04-30 166 169.9 159.6 163 155010
2020-05-04 159.7 159.7 151 151.3 119249
2020-05-05 152.9 154.2 148.1 149.5 71597
2020-05-06 150.1 151.9 147.2 148 84240
2020-05-07 149.4 150.9 145.6 148 77551
2020-05-08 150.8 151.8 148.6 151 45075
2020-05-11 153 153 145.6 145.7 48755
2020-05-12 146.7 152.8 141.1 150.8 179937
2020-05-13 149 157 147.1 155.5 112122
2020-05-14 152.4 158.8 148.4 151.4 148451
2020-05-15 152.8 153.5 146 148.2 86035
2020-05-18 148.6 154 145.8 154 144098
2020-05-19 157 157 149.9 152.2 125427
2020-05-20 151.8 155.5 150.2 154.7 87964
2020-05-21 152 154.7 152 152.9 53546
2020-05-22 152.6 153.1 148.3 149.1 71719
2020-05-25 151.3 152.8 149 152.1 34078
2020-05-26 154 166 152.3 166 183786
2020-05-27 167 178.2 163.8 170.8 264025
2020-05-28 172.9 181.7 160 169.1 441258
2020-05-29 165 165.2 161.2 162.8 356754
2020-06-01 166 170 161.6 165 84425
2020-06-02 166.5 167.1 162.5 163.6 167649
2020-06-03 166.8 171.5 163.6 169.5 136168
2020-06-04 170 177.7 166.2 177.6 181805
2020-06-05 179 185.8 179 184.8 197174
2020-06-08 184.8 194.4 182.7 191.9 184298
2020-06-09 195 196.4 184.5 187 123914
2020-06-10 187 187.3 180.5 182 123193
2020-06-12 172 178 169.1 173.7 131028
2020-06-15 169 174.7 168 173.5 132776
2020-06-16 179 183.3 176 179.8 89331
2020-06-17 180.2 183.3 178.5 182.6 116530
2020-06-18 183.2 183.2 175.8 177.1 89551
2020-06-19 179 182.2 175.5 181.3 376688
2020-06-22 181 185.6 176 182.9 111318
2020-06-23 185.7 190.4 183.7 186.8 93974
2020-06-24 186.8 188.9 180.4 180.4 50492
2020-06-25 179 186 174.8 184 46773
2020-06-26 182 183.8 176.6 178 59409
2020-06-29 177.6 183.4 172.2 180.1 52281
2020-06-30 180 181 173.2 175.4 52971
2020-07-01 175 176.4 171.5 174.5 84536
2020-07-02 174.5 177.9 173.5 175 146480
2020-07-03 175.4 176.4 171.5 173.5 43995
2020-07-06 176 179.5 173.8 173.9 87344
2020-07-07 174 174.9 170 170.7 66324
2020-07-08 169.3 171.7 168.2 169.8 44882
2020-07-09 170.2 171.3 168.5 168.8 70001
2020-07-10 167.5 169 166.2 168 96470
2020-07-13 171.4 174.5 168.3 171.5 92203
2020-07-14 170.1 171.2 165.6 166.1 78783
2020-07-15 167.8 168.2 163.5 164.7 130851
2020-07-16 165.9 166.5 161.1 164.6 71690
2020-07-17 165 167 162.5 166.4 80997
2020-07-20 164.4 166.8 160 162.1 123219
2020-07-21 165.1 170.9 162.6 169.9 134711
2020-07-22 168.7 169.7 165.2 165.6 36660
2020-07-23 166.5 166.6 161.6 162.7 136430
2020-07-24 160.8 163.2 160.2 161.4 45927
2020-07-27 161.1 162.8 158.8 160.8 44614
2020-07-28 159.1 162.3 158.3 159.6 57011
2020-07-29 162.2 162.8 155.5 157.6 48799
2020-07-30 155.5 155.9 147 151.5 101707
2020-07-31 154.5 154.5 149.6 150.4 113743
2020-08-03 150.5 153.4 147.6 152.5 68041
2020-08-04 153.6 156.6 153.6 154.3 52401
2020-08-05 155.5 158.7 152.6 155.1 75467
2020-08-06 155 157.5 151.4 153.8 64966
2020-08-07 153.8 154.7 151 151.8 54398
2020-08-10 153 155.4 150.9 154 21000
2020-08-11 155.2 162.2 153.5 161.5 55646
2020-08-12 161.7 165.8 157.8 160.3 57670
2020-08-13 160.8 162.8 159.5 162 43443
2020-08-14 160 160.1 157.5 159.8 20286
2020-08-17 161 161.1 156.3 157.6 14209
2020-08-18 156.2 160.4 155.5 158 44456
2020-08-19 157.5 159.8 156 156.6 53957
2020-08-20 155.1 156.7 152.5 152.6 71601
2020-08-21 155.9 156.4 153.5 155.8 35183
2020-08-24 157.6 158.2 155.5 157.3 38752
2020-08-25 157.5 159.2 154.9 155.5 27215
2020-08-26 156 157 155.3 156.8 24527
2020-08-27 156.8 157.1 154.2 155.5 28257
2020-08-28 156.3 158.2 153.1 153.8 32206
2020-08-31 153.9 155.3 150.3 151.5 95488
2020-09-01 152.5 152.5 145.3 146.3 105484
2020-09-02 146.4 151.3 145.3 148 68063
2020-09-03 150 152.2 147.3 148.7 43303
2020-09-04 148 148.9 144.5 144.5 56889
2020-09-07 144.5 146.9 144.5 145.2 25380
2020-09-08 146 148 138.6 140.1 55314
2020-09-09 140.3 146.3 140.3 146 75920
2020-09-10 146 148.9 143.2 146.6 45731
2020-09-11 147.5 152.4 146 150.6 94585
2020-09-14 153.6 154.3 147.5 149.9 49493
2020-09-15 152.9 152.9 149.1 152.1 76649
2020-09-16 152.8 152.8 148.2 150 35826
2020-09-17 147.6 152.3 147.6 152.1 48400
2020-09-18 152 152 148.1 149.6 128866
2020-09-21 148.2 148.7 143.4 144.7 67545
2020-09-22 145.3 146.7 142.1 143 34703
2020-09-23 145.9 147 141.5 141.5 41430
2020-09-24 140.5 142.1 139.5 140 43725
2020-09-25 140.1 141.5 138.8 140 53607
2020-09-28 141.3 146.4 140 146.4 33971
2020-09-29 145 145.9 140.8 141.4 27874
2020-09-30 141 143.9 140.2 142.6 35487
2020-10-01 144.5 144.5 141.2 142.5 20201
2020-10-02 140.4 145 139.2 144.5 37485
2020-10-05 144 149.5 143.9 148.5 62612
2020-10-06 149 155 148 155 59922
2020-10-07 155.9 157.4 152 155 79375
2020-10-08 156 156.6 152.4 153.8 74211
2020-10-09 152.2 154.1 146.5 148 52600
2020-10-12 148.8 148.8 146.2 147.5 60845
2020-10-13 147 147 138.7 139.9 95514
2020-10-14 140 142.3 136.5 138 155751
2020-10-15 137.2 137.8 130.2 132 124706
2020-10-16 133 137.7 129.8 136.7 66351
2020-10-19 137.2 140 128.7 130.2 78820
2020-10-20 131 136.2 128.6 129.4 127891
2020-10-21 132 132.3 124.2 128.7 134698
2020-10-22 128 133.5 126.4 133 142524
2020-10-23 131 137.3 131 135 138071
2020-10-26 132.3 135.9 131.7 133.7 70954
2020-10-27 137.2 139.4 128 129.9 93982
2020-10-28 131 133.4 123.1 126.4 140505
2020-10-29 126.9 128.6 123.3 125 105528
2020-10-30 123.2 126.9 120 123 131645
2020-11-02 123.7 134.8 122.1 131.2 79277
2020-11-03 131.3 143 131.3 142 99126
2020-11-04 141 144.2 135.7 142.6 78585
2020-11-05 143.9 148.3 138.7 148.3 86925
2020-11-06 145.3 147.7 140.2 144.6 93599
2020-11-09 146.2 160.6 140.4 160.3 209057
2020-11-10 161 172.1 157.5 171.2 215819
2020-11-12 171.2 176.2 167 172.9 211901
2020-11-13 172.9 172.9 168.2 171.3 67190
2020-11-16 172.6 178.7 172.6 178.5 94764
2020-11-17 175.7 179.8 172.8 179.1 88279
2020-11-18 175.7 179.8 174.6 175.2 58929
