Data Otwarcie Najwyzszy Najnizszy Zamkniecie Wolumen
2019-02-27 361.61 362.56 357.26 358.21 49397
2019-02-28 351.58 362.94 351.2 356.31 364276
2019-03-01 357.83 365.78 356.88 364.07 93493
2019-03-04 365.4 365.4 354.99 359.72 76407
2019-03-05 355.93 365.02 355.37 357.26 96738
2019-03-06 359.72 363.7 356.31 360.67 45650
2019-03-07 361.99 364.45 358.77 362.18 29844
2019-03-08 359.53 360.86 353.09 353.47 61941
2019-03-11 355.55 356.31 349.69 349.87 82228
2019-03-12 354.42 356.69 351.2 356.12 36374
2019-03-13 356.12 360.29 353.66 359.34 32209
2019-03-14 361.23 364.83 359.91 364.26 58919
2019-03-15 364.64 371.27 364.07 366.54 200704
2019-03-18 366.35 372.97 362.56 372.97 25844
2019-03-19 372.97 374.87 370.7 372.97 40301
2019-03-20 371.08 377.33 371.08 377.33 41313
2019-03-21 377.52 377.52 372.97 373.92 69903
2019-03-22 370.89 372.22 364.45 368.62 36008
2019-03-25 368.24 370.51 360.86 369 38003
2019-03-26 367.29 369.94 363.51 367.29 29565
2019-03-27 370.51 370.51 355.74 355.74 39286
2019-03-28 355.74 359.15 355.74 356.31 27466
2019-03-29 359.53 362.56 356.31 360.67 51709
2019-04-01 361.99 363.7 356.12 357.07 26819
2019-04-02 359.72 372.03 358.58 368.43 53375
2019-04-03 372.78 375.06 367.29 371.08 28157
2019-04-04 366.54 375.43 365.78 366.35 46312
2019-04-05 369.38 376 363.32 363.7 73902
2019-04-08 359.91 365.21 359.91 363.13 31547
2019-04-09 366.35 371.65 362.56 370.13 31944
2019-04-10 370.13 376.57 367.29 375.62 63624
2019-04-11 375.81 375.81 368.43 371.08 25650
2019-04-12 373.73 373.73 365.4 365.4 25765
2019-04-15 365.78 372.59 365.4 370.13 27343
2019-04-16 371.65 374.87 367.86 374.87 36344
2019-04-17 372.22 386.23 372.22 380.17 56737
2019-04-18 376.19 379.41 373.54 376.95 26367
2019-04-23 373.35 380.55 373.16 378.65 31887
2019-04-24 378.65 378.65 371.46 378.27 63068
2019-04-25 378.27 378.27 371.27 373.73 53976
2019-04-26 374.49 378.65 372.59 378.46 55799
2019-04-29 380.73 385.85 377.33 380.55 42667
2019-04-30 383.39 385.28 369.38 375.62 70955
2019-05-02 377.52 384.33 374.49 377.89 44081
2019-05-06 381.68 381.68 365.59 367.29 44041
2019-05-07 370.7 374.11 359.91 361.8 57879
2019-05-08 365.78 365.78 353.28 354.8 68182
2019-05-09 352.15 356.88 350.25 350.25 67833
2019-05-10 354.04 361.42 348.55 349.12 50964
2019-05-13 350.44 352.9 341.92 348.17 43837
2019-05-14 348.36 354.23 345.52 348.55 57940
2019-05-15 348.36 349.87 341.92 344.57 33869
2019-05-16 346.85 349.5 339.27 348.36 66006
2019-05-17 350.25 350.25 341.73 344.38 37199
2019-05-20 345.52 355.74 343.25 354.8 36994
2019-05-21 354.61 354.61 344.01 349.5 50080
2019-05-22 351.39 365.97 349.5 361.42 56815
2019-05-23 361.42 361.42 352.71 354.8 41637
2019-05-24 354.99 357.83 350.25 353.09 57757
2019-05-27 352.15 358.02 351.77 355.93 16054
2019-05-28 357.26 361.23 351.2 351.2 220758
2019-05-29 351.4 358.6 350 356.4 66938
2019-05-30 355.4 368.4 355.4 368 87085
2019-05-31 364.2 367 362.2 365.2 92643
2019-06-03 365.4 366.4 358 362.2 55716
2019-06-04 363.2 374.8 358.4 365.2 57629
2019-06-05 363.6 365.8 358 361.2 35130
2019-06-06 360.2 371.6 357 370.4 56788
2019-06-07 368.8 378.2 368.2 377 34157
2019-06-10 376.8 377.6 369.6 372.4 33040
2019-06-11 374 378.8 369.6 376.2 41625
2019-06-12 377 377 369 376.6 49049
2019-06-13 374.4 383.4 372 381.2 58521
2019-06-14 379.6 383.4 375.6 379.8 37588
2019-06-17 378 380.6 371.4 373.2 22996
2019-06-18 374 375.4 370.2 372.6 49782
2019-06-19 374.4 380.8 372.6 379.4 47168
2019-06-21 381 382.4 370.2 370.4 162546
2019-06-24 371 377.4 369.6 375.6 22340
2019-06-25 373.2 374.4 365.4 370.6 29118
2019-06-26 372.2 372.8 368.2 369.6 29570
2019-06-27 369 377.8 369 377 42120
2019-06-28 376 376.8 370.4 370.8 30057
2019-07-01 372 380.8 369.8 369.8 23338
2019-07-02 372 374.2 369.2 372.4 48243
2019-07-03 370 372.2 367.2 369.8 37452
2019-07-04 370 370 365.6 368.2 25399
2019-07-05 370 370 361.2 362.4 23751
2019-07-08 363 364.6 360.6 364.6 20225
2019-07-09 368 368 356.4 359.8 39855
2019-07-10 359.8 363.6 358.4 359 56914
2019-07-11 363.4 363.4 356 357.2 27251
2019-07-12 360 360 348.8 348.8 26120
2019-07-15 349.2 354.6 348.6 354 49387
2019-07-16 354 357.6 351.8 356.4 21820
2019-07-17 355 355 347 354 35047
2019-07-18 350 357.8 348 353.8 36299
2019-07-19 350.2 358.2 349.4 356.6 33235
2019-07-22 358.2 364.8 355.4 364.8 44637
2019-07-23 354.6 357.4 348.4 353 173582
2019-07-24 354.8 354.8 349.6 350 98243
2019-07-25 350 352.6 342.4 343.2 40653
2019-07-26 343 346.2 340.6 341 57070
2019-07-29 339.8 340.2 334.8 337 48204
2019-07-30 335 337.4 329.6 329.6 34745
2019-07-31 328.4 332.6 323.6 327.4 63799
2019-08-01 325.4 331 315.6 319.6 62399
2019-08-02 318 323.4 313.4 318 48685
2019-08-05 316.8 320.2 312.8 314 55442
2019-08-06 316 317.8 308.8 312 80031
2019-08-07 312 314.4 308 311 56140
2019-08-08 316.6 316.6 310.6 313.2 82197
2019-08-09 313 314.8 305.6 307 45483
2019-08-12 311 311.6 304.8 305 28991
2019-08-13 302 313.2 298.2 310.4 60612
2019-08-14 309 311.8 297.6 297.6 71804
2019-08-16 298.8 301.8 292.4 294 84229
2019-08-19 298 302 292.6 296.8 59237
2019-08-20 297.4 302 293 298.2 55000
2019-08-21 299 309 296.4 300.6 65534
2019-08-22 303.4 312.8 299.2 307.4 51924
2019-08-23 308.6 314.8 305.4 306.8 73110
2019-08-26 306 312.8 301.8 309.2 30894
2019-08-27 307.6 311.4 294.2 303 230133
2019-08-28 300.4 303.4 278.6 282 104147
2019-08-29 284 291.8 281.4 290.6 86360
2019-08-30 287.6 306.2 287.6 305 57409
2019-09-02 305 305 299.8 302.2 18207
2019-09-03 299.6 301.2 292 297.6 38967
2019-09-04 298.2 304.8 295.8 296.2 51257
2019-09-05 296.8 303.8 294.2 295.8 29669
2019-09-06 297.4 301 293.6 299.8 24982
2019-09-09 299.8 309 299 305 23431
2019-09-10 309 309 293.4 298.6 49147
2019-09-11 300.6 305.6 300 305.6 52707
2019-09-12 302.8 316.8 302.8 315.8 62808
2019-09-13 315.2 319.8 314 318.2 44445
2019-09-16 315.4 319.4 306.2 318.4 73573
2019-09-17 319 319 309 318.8 60143
2019-09-18 318.6 320.4 311.6 320.2 63468
2019-09-19 316.2 316.8 310.4 312 53718
2019-09-20 309.6 312 302 305.4 186826
2019-09-23 304 312.8 301.6 309.2 52258
2019-09-24 312.8 312.8 304.2 310 77703
2019-09-25 308 308 302 305.6 27901
2019-09-26 298 314.6 298 311.8 62659
2019-09-27 311.8 324 304.2 316 65226
2019-09-30 319 319 304.2 313.6 82706
2019-10-01 314.6 316 306.2 312 82365
2019-10-02 306.4 313.2 296.4 297.4 112199
2019-10-03 296 310.4 270 283.2 180244
2019-10-04 284 290 283.6 286 234165
2019-10-07 285.8 288 283.6 287 31093
2019-10-08 286.2 291.8 284.8 291.2 52559
2019-10-09 292.6 292.6 285.6 287.4 22409
2019-10-10 286 288.6 284.8 284.8 28251
2019-10-11 285 297.8 285 297 46322
2019-10-14 295 300 293 300 31537
2019-10-15 300 301.6 295.2 296 20345
2019-10-16 297.4 297.4 292.4 294.6 32430
2019-10-17 298 300.8 293.8 299.8 59814
2019-10-18 297.4 299.8 296.8 299.6 129705
2019-10-21 297.8 309 297.8 305 42778
2019-10-22 308 319.2 307.2 319.2 113662
2019-10-23 315.8 324.2 314.6 320.2 66973
2019-10-24 322 323 313.6 315.8 85147
2019-10-25 315.8 316.2 302.4 307 89926
2019-10-28 305 317.2 303.6 316.2 35466
2019-10-29 315.8 316 311 316 42779
2019-10-30 318 318 308.6 313.4 31676
2019-10-31 315 315 309 313.2 50228
2019-11-04 315 321.2 315 321 47204
