dzienne_zarazenia,dzienna_smierc,lacznie_1_dawka,lacznie_2_dawka,teraz_zarazeni,ozdrowiency
565,91,14224874,7777048,5642,1202
1017,45,14224874,8135541,5300,1314
958,13,14224874,8314393,5508,737
1008,16,14224874,8493604,5816,684
1094,23,14224874,8672225,6218,669
1139,18,14224874,8850583,6652,687
1225,20,14224874,9029920,7194,663
1279,23,14224874,9207793,7762,688
1407,35,14224874,9386678,8186,948
1517,28,14224874,9564956,8731,944
1557,22,14224874,9743712,9276,990
1620,27,14224874,9922343,9813,1056
1761,31,14224874,10100292,10466,1077
1811,38,14224874,10279632,11039,1200
1942,44,14224874,10458590,11706,1231
2024,35,14224874,10637915,12315,1380
2151,39,14290284,10816912,12968,1459
2289,54,14355808,10995962,13696,1507
2305,47,14421383,11174824,14411,1543
2523,53,14486839,11354216,15179,1702
2622,54,14552706,11532910,15989,1758
2715,54,14617902,11711613,16767,1883
2767,45,14683563,11890668,17521,1968
2951,50,14748726,12068744,18329,2093
3082,77,14814179,12247961,19158,2176
3231,64,14879454,12426356,20072,2253
3365,70,14945047,12604934,20947,2420
3575,81,15010575,12783711,21903,2538
3678,75,15076358,12961736,22864,2642
3757,76,15141801,13140124,23833,2712
3942,86,15206983,13319309,24869,2820
4071,107,15272355,13498057,25862,2971
4246,104,15337945,13677555,26878,3126
4361,91,15403616,13856062,27877,3271
4546,95,15468599,14034306,28874,3454
4667,102,15534053,14213583,29882,3557
4690,87,15599361,14213691,30790,3695
4938,96,15664683,14213780,31821,3811
5021,104,15730272,14213866,32815,3923
5238,123,15795413,14213935,33791,4139
5253,130,15860502,14214002,34700,4214
5443,150,15925844,14214038,35561,4432
5662,136,15990893,14214064,36594,4493
5723,153,16056392,14214085,37598,4566
5964,142,16121723,14214086,38653,4767
6164,140,16187472,14214086,39828,4849
6335,154,16253311,14214086,40954,5055
6552,151,16318502,14214086,42238,5117
6731,137,16383869,14214086,43578,5254
6832,178,16449472,14214086,44754,5478
7027,172,16515062,14214086,46056,5553
7248,171,16580114,14279424,47403,5730
7392,204,16580127,14344862,48614,5977
7607,197,16580145,14410393,49878,6146
7908,187,16580157,14475790,51265,6334
7987,190,16580171,14541585,52553,6509
8388,196,16580177,14606725,54094,6651
8473,197,16580183,14672354,55528,6842
8696,223,16580187,14737484,56979,7022
8832,231,16580188,14802940,58503,7077
9107,217,16580189,14868179,60027,7366
9294,243,16580189,14933733,61416,7662
9432,255,16580189,14999260,62851,7742
9748,254,16580189,15065009,64217,8128
10161,237,16580189,15130485,65912,8229
10179,240,16580189,15195649,67440,8411
10452,286,16580189,15260985,69050,8556
10765,299,16580189,15326558,70710,8806
10836,250,16580189,15392209,72297,8999
11400,260,16580189,15457166,74281,9156
11347,299,16580189,15522602,75887,9442
11862,286,16580189,15587885,77611,9852
11804,278,16580189,15653213,79293,9844
12072,291,16580189,15718772,80931,10143
12226,355,16580189,15783871,82385,10417
12413,328,16580189,15848930,84011,10459
13004,313,16580189,15914243,85642,11060
13131,328,16580189,15979234,87400,11045
13315,344,16580189,16044701,88911,11460
13519,350,16580189,16110018,90622,11458
13823,350,16580189,16175778,92393,11702
14022,346,16580189,16241569,94194,11875
14131,359,16580189,16306719,95938,12028
14394,411,16580189,16372060,97337,12584
14628,401,16580189,16437622,98848,12716
14811,367,16580189,16503200,100394,12898
14956,387,16580189,16568215,101827,13136
