dzienne_zarazenia,dzienna_smierc,lacznie_1_dawka,lacznie_2_dawka,teraz_zarazeni,ozdrowiency
565,91,14224874,7777048,5642,1202
594,37,14224874,8134845,4916,1283
536,15,14224874,8313795,4720,717
499,19,14224874,8493082,4526,674
518,13,14224874,8672411,4342,689
403,25,14224874,8850785,4016,704
423,28,14224874,9029261,3747,664
452,20,14224874,9208849,3468,711
349,16,14224874,9387873,3231,570
370,10,14224874,9566209,3055,536
283,17,14224874,9745304,2839,482
317,12,14224874,9924352,2642,502
293,16,14224874,10102798,2523,396
280,10,14224874,10281369,2379,414
233,24,14224874,10460440,2165,423
222,13,14224874,10638824,2034,340
207,13,14486819,10817443,1860,368
188,3,14749119,10996335,1764,281
214,7,15011172,11175425,1667,304
166,7,15273305,11354644,1531,295
164,12,15535268,11533611,1420,263
130,6,15797381,11711971,1305,239
138,1,16059850,11891027,1225,217
131,11,16321963,12069944,1143,202
124,3,16583865,12249045,1087,177
98,8,16845535,12427635,974,203
102,7,17108300,12606704,910,159
90,4,17369961,12785418,827,169
77,5,17631974,12964475,768,131
73,3,17895065,13142728,699,139
73,4,18156761,13320845,649,119
52,3,18418823,13499331,572,126
48,1,18680421,13678735,528,91
58,3,18942190,13857354,475,108
52,5,19204011,14035276,440,82
42,0,19466089,14214672,402,80
36,2,19729530,14214672,368,68
23,5,19991022,14214674,317,69
28,2,20252750,14214678,291,52
31,2,20514858,14214678,272,48
23,1,20776263,14214678,238,56
19,0,21037992,14214678,207,50
13,1,21298852,14214680,177,42
17,0,21560972,14214680,158,36
15,1,21822962,14214680,147,25
14,2,22085662,14214680,133,26
7,1,22347259,14214680,110,29
4,1,22608763,14214680,91,22
6,0,22870494,14214680,79,18
7,1,23133367,14214680,73,12
5,0,23395174,14214680,58,20
1,0,23657457,14476624,44,15
2,0,23657514,14738924,33,13
2,0,23657577,15000977,27,8
4,0,23657614,15263109,27,4
3,1,23657658,15525071,26,3
2,0,23657682,15787184,19,9
1,0,23657706,16049654,15,5
0,0,23657725,16311767,14,1
2,0,23657732,16573668,15,1
1,1,23657733,16835338,13,2
1,0,23657733,17098103,10,4
0,0,23657733,17359764,7,3
2,0,23657733,17621776,7,2
0,0,23657733,17884868,6,1
0,0,23657733,18146564,6,0
0,0,23657733,18408626,4,2
0,0,23657733,18670224,3,1
0,0,23657733,18931993,2,1
0,0,23657733,19193814,2,0
0,0,23657733,19455892,0,2
0,0,23657733,19719333,0,0
0,0,23657733,19980825,0,0
0,0,23657733,20242553,0,0
0,0,23657733,20504661,0,0
0,0,23657733,20766066,0,0
0,0,23657733,21027795,0,0
0,0,23657733,21288655,0,0
0,0,23657733,21550775,0,0
0,0,23657733,21812765,0,0
0,0,23657733,22075465,0,0
0,0,23657733,22337062,0,0
0,0,23657733,22598566,0,0
0,0,23657733,22860297,0,0
0,0,23657733,23123170,0,0
0,0,23657733,23384977,0,0
0,0,23657733,23647260,0,0
0,0,23657733,23647317,0,0
0,0,23657733,23647380,0,0
0,0,23657733,23647417,0,0
0,0,23657733,23647461,0,0
0,0,23657733,23647485,0,0
0,0,23657733,23647509,0,0
0,0,23657733,23647528,0,0
0,0,23657733,23647535,0,0
0,0,23657733,23647536,0,0
0,0,23657733,23647536,0,0
0,0,23657733,23647536,0,0
0,0,23657733,23647536,0,0
0,0,23657733,23647536,0,0
0,0,23657733,23647536,0,0
0,0,23657733,23647536,0,0
0,0,23657733,23647536,0,0
0,0,23657733,23647536,0,0
0,0,23657733,23647536,0,0
0,0,23657733,23647536,0,0
0,0,23657733,23647536,0,0
0,0,23657733,23647536,0,0
