date	total_cases	new_cases	total_deaths	new_deaths	reproduction_rate	new_tests	total_tests	total_tests_per_thousand	new_tests_per_thousand	positive_rate	tests_per_case	total_vaccinations	people_vaccinated	people_fully_vaccinated	new_vaccinations	new_vaccinations_smoothed	total_vaccinations_per_hundred	people_vaccinated_per_hundred	people_fully_vaccinated_per_hundred	stringency_index	population
04.03.2020	1.0	1.0																		11.11	37846605.0
05.03.2020	1.0	0.0																		11.11	37846605.0
06.03.2020	5.0	4.0																		11.11	37846605.0
07.03.2020	5.0	0.0																		11.11	37846605.0
08.03.2020	11.0	6.0																		11.11	37846605.0
09.03.2020	16.0	5.0																		13.89	37846605.0
10.03.2020	22.0	6.0																		25.0	37846605.0
11.03.2020	31.0	9.0																		25.0	37846605.0
12.03.2020	49.0	18.0	1.0	1.0																41.67	37846605.0
13.03.2020	68.0	19.0	2.0	1.0																41.67	37846605.0
14.03.2020	103.0	35.0	3.0	1.0																49.07	37846605.0
15.03.2020	119.0	16.0	3.0	0.0	2.45															57.41	37846605.0
16.03.2020	177.0	58.0	4.0	1.0	2.5															57.41	37846605.0
17.03.2020	238.0	61.0	5.0	1.0	2.46															57.41	37846605.0
18.03.2020	251.0	13.0	5.0	0.0	2.4															57.41	37846605.0
19.03.2020	355.0	104.0	5.0	0.0	2.41															57.41	37846605.0
20.03.2020	425.0	70.0	5.0	0.0	2.35															57.41	37846605.0
21.03.2020	536.0	111.0	5.0	0.0	2.3															57.41	37846605.0
22.03.2020	634.0	98.0	7.0	2.0	2.23															57.41	37846605.0
23.03.2020	749.0	115.0	8.0	1.0	2.14															57.41	37846605.0
24.03.2020	901.0	152.0	10.0	2.0	2.1															57.41	37846605.0
25.03.2020	1051.0	150.0	14.0	4.0	2.04															57.41	37846605.0
26.03.2020	1221.0	170.0	16.0	2.0	1.94															57.41	37846605.0
27.03.2020	1389.0	168.0	16.0	0.0	1.89															57.41	37846605.0
28.03.2020	1638.0	249.0	18.0	2.0	1.87															57.41	37846605.0
29.03.2020	1862.0	224.0	22.0	4.0	1.81															57.41	37846605.0
30.03.2020	2055.0	193.0	31.0	9.0	1.75															57.41	37846605.0
31.03.2020	2311.0	256.0	33.0	2.0	1.73															81.48	37846605.0
01.04.2020	2554.0	243.0	43.0	10.0	1.72															81.48	37846605.0
02.04.2020	2946.0	392.0	57.0	14.0	1.7															81.48	37846605.0
03.04.2020	3383.0	437.0	71.0	14.0	1.65															81.48	37846605.0
04.04.2020	3627.0	244.0	79.0	8.0	1.57															81.48	37846605.0
05.04.2020	4102.0	475.0	94.0	15.0	1.53															81.48	37846605.0
06.04.2020	4413.0	311.0	107.0	13.0	1.46															81.48	37846605.0
07.04.2020	4848.0	435.0	129.0	22.0	1.4															81.48	37846605.0
08.04.2020	5205.0	357.0	159.0	30.0	1.32															81.48	37846605.0
09.04.2020	5575.0	370.0	174.0	15.0	1.24															83.33	37846605.0
10.04.2020	5955.0	380.0	181.0	7.0	1.19															83.33	37846605.0
11.04.2020	6356.0	401.0	208.0	27.0	1.15															83.33	37846605.0
12.04.2020	6674.0	318.0	232.0	24.0	1.09															83.33	37846605.0
13.04.2020	6934.0	260.0	245.0	13.0	1.07															83.33	37846605.0
14.04.2020	7202.0	268.0	263.0	18.0	1.07															83.33	37846605.0
15.04.2020	7582.0	380.0	286.0	23.0	1.09															83.33	37846605.0
16.04.2020	7918.0	336.0	314.0	28.0	1.09															83.33	37846605.0
17.04.2020	8379.0	461.0	332.0	18.0	1.11															83.33	37846605.0
18.04.2020	8742.0	363.0	347.0	15.0	1.1															83.33	37846605.0
19.04.2020	9287.0	545.0	360.0	13.0	1.09															83.33	37846605.0
20.04.2020	9593.0	306.0	380.0	20.0	1.04															83.33	37846605.0
21.04.2020	9856.0	263.0	401.0	21.0	1.0															83.33	37846605.0
