Dzien lacznie dzienny_przyrost
2020-03-04 1 1
2020-03-05 1 0
2020-03-06 5 4
2020-03-09 17 6
2020-03-10 22 5
2020-03-11 31 9
2020-03-12 51 20
2020-03-13 68 17
2020-03-16 177 52
2020-03-17 238 61
2020-03-18 287 49
2020-03-19 355 68
2020-03-20 425 70
2020-03-23 749 115
2020-03-24 901 152
2020-03-25 1051 150
2020-03-26 1221 170
2020-03-27 1389 168
2020-03-30 2055 193
2020-03-31 2311 256
2020-04-01 2554 243
2020-04-02 2946 392
2020-04-03 3383 437
2020-04-06 4413 311
2020-04-07 4848 435
2020-04-08 5205 357
2020-04-09 5575 370
2020-04-14 7202 268
2020-04-15 7582 380
2020-04-16 7918 336
2020-04-17 8379 461
2020-04-20 9593 306
2020-04-21 9856 263
2020-04-22 10169 313
2020-04-23 10511 342
2020-04-24 10892 381
2020-04-27 11902 285
2020-04-28 12218 316
2020-04-29 12640 422
2020-04-30 12877 300
2020-05-04 14006 313
2020-05-05 14431 425
2020-05-06 14740 311
2020-05-07 15047 324
2020-05-08 15366 340
2020-05-11 16326 330
2020-05-12 16921 595
2020-05-13 17204 322
2020-05-14 17615 411
2020-05-15 18016 401
2020-05-18 18885 356
2020-05-19 19268 383
2020-05-20 19739 471
2020-05-21 20143 405
2020-05-22 20619 476
2020-05-25 21631 341
2020-05-26 22074 445
2020-05-27 22473 399
2020-05-28 22825 352
2020-05-29 23158 333
2020-06-01 24165 380
2020-06-02 24395 236
2020-06-03 24687 292
2020-06-04 25048 361
2020-06-05 25410 362
2020-06-08 27160 599
2020-06-09 27560 400
2020-06-10 27842 282
2020-06-12 28577 376
2020-06-15 29788 396
2020-06-16 30195 407
2020-06-17 30701 506
2020-06-18 31015 314
2020-06-19 31316 352
2020-06-22 32227 296
2020-06-23 32527 300
2020-06-24 32821 294
2020-06-25 33119 298
2020-06-26 33395 285
2020-06-29 34154 247
2020-06-30 34393 239
2020-07-01 34775 382
2020-07-02 35146 371
2020-07-03 35405 259
2020-07-06 36155 205
2020-07-07 36412 257
2020-07-08 36689 277
2020-07-09 36951 262
2020-07-10 37216 265
2020-07-13 38190 299
2020-07-14 38457 267
2020-07-15 38721 264
2020-07-16 39054 333
2020-07-17 39407 353
2020-07-20 40383 279
2020-07-21 40782 399
2020-07-22 41162 380
2020-07-23 41580 418
2020-07-24 42038 458
2020-07-27 43402 337
2020-07-28 43904 502
2020-07-29 44416 512
2020-07-30 45031 615
2020-07-31 45688 657
2020-08-03 47469 575
2020-08-04 48149 680
2020-08-05 48789 640
2020-08-06 49515 726
2020-08-07 50324 809
2020-08-10 52410 619
2020-08-11 52961 551
2020-08-12 53676 715
2020-08-13 54487 811
2020-08-14 55312 832
2020-08-17 57279 595
2020-08-18 57876 597
2020-08-19 58611 735
2020-08-20 59378 767
2020-08-21 60281 903
2020-08-24 62310 548
2020-08-25 63073 763
2020-08-26 63802 729
2020-08-27 64689 887
2020-08-28 65480 791
2020-08-31 67372 502
2020-09-01 67922 550
2020-09-02 68517 595
2020-09-03 69129 612
2020-09-04 69820 691
2020-09-07 71126 302
2020-09-08 71526 400
2020-09-09 71947 421
2020-09-10 72453 506
2020-09-11 73047 594
2020-09-14 74529 377
2020-09-15 75134 605
2020-09-16 75734 600
2020-09-17 76571 837
2020-09-18 77328 757
2020-09-21 79988 748
2020-09-22 80699 711
2020-09-23 81673 974
2020-09-24 82809 1136
2020-09-25 84396 1587
2020-09-28 88636 1306
2020-09-29 89962 1326
2020-09-30 91514 1552
2020-10-01 93481 1967
2020-10-02 95773 2292
2020-10-05 102080 2006
2020-10-06 104316 2236
2020-10-07 107319 3003
2020-10-08 111599 4280
2020-10-09 116338 4739
2020-10-12 130210 4394
2020-10-13 135278 5068
2020-10-14 141804 6526
2020-10-15 149903 8099
2020-10-16 157608 7705
2020-10-19 183243 7482
2020-10-20 192539 9291
2020-10-21 202579 10040
2020-10-22 214686 12107
2020-10-23 228318 13632
2020-10-26 263929 10241
2020-10-27 280229 16300
2020-10-28 299049 18820
2020-10-29 319205 20156
2020-10-30 340834 21628
2020-11-02 395480 15578
2020-11-03 414844 19364
2020-11-04 439536 24692
2020-11-05 466679 27143
2020-11-06 493765 27086
2020-11-09 568138 21713
2020-11-10 593592 25484
2020-11-12 641496 22683
2020-11-13 665547 24051
2020-11-16 733788 20816
2020-11-17 752940 19152
2020-11-18 772823 19883
2020-11-19 796798 23975
2020-11-20 819262 22464
2020-11-23 876333 15002
2020-11-24 909066 10139
2020-11-25 924428 15362
2020-11-26 941112 16687
2020-11-27 958416 17060
2020-11-30 990811 5733
2020-12-01 999924 9105
2020-12-02 1013747 13855
2020-12-03 1028610 14838
2020-12-04 1041846 13239
2020-12-07 1067870 4423
2020-12-08 1076180 8312
2020-12-09 1088346 12168
2020-12-10 1102096 13749
2020-12-11 1115201 13110
2020-12-14 1140572 4896
2020-12-15 1147446 6907
2020-12-16 1159901 12454
2020-12-17 1171854 11953
2020-12-18 1182864 11013
2020-12-21 1207333 4633
2020-12-22 1214525 7192
2020-12-23 1226883 12361
2020-12-28 1261010 3211
2020-12-29 1268634 7914
2020-12-30 1281414 12955
2021-01-04 1322947 4432
2021-01-05 1330543 7624
2021-01-07 1356882 12054
2021-01-08 1365645 8790
2021-01-11 1395779 5569
2021-01-12 1404905 9053
2021-01-13 1414362 9436
2021-01-14 1422320 7795
2021-01-15 1429612 7412
2021-01-18 1443804 4835
2021-01-19 1450747 6919
2021-01-20 1457755 7152
2021-01-21 1464448 6640
2021-01-22 1470879 6322
2021-01-25 1482722 4604
2021-01-26 1489512 6789
2021-01-27 1496665 7156
2021-01-28 1502810 6144
2021-01-29 1508674 5864
2021-02-01 1520215 4326
2021-02-02 1527016 6802
2021-02-03 1533511 6496
2021-02-04 1539564 6053
2021-02-05 1545530 6026
2021-02-08 1556685 4029
2021-02-09 1563645 6930
2021-02-10 1570658 7008
2021-02-11 1577036 6379
2021-02-12 1583621 6586
2021-02-15 1596673 5178
2021-02-16 1605372 8694
2021-02-17 1614446 9073
2021-02-18 1623218 8777
2021-02-19 1631727 8510
2021-02-22 1648962 6310
2021-02-23 1661109 12146
2021-02-24 1673252 12142
2021-02-25 1684788 11539
2021-02-26 1696885 12100
2021-03-01 1719708 7937
2021-03-02 1735406 15698
2021-03-03 1735406 15698
